Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Asteroids,2600,1980,Atari,4,0.26,0.05
Missile Command,2600,1980,Atari,2.56,0.17,0.03
Kaboom!,2600,1980,Activision,1.07,0.07,0.01
Defender,2600,1980,Atari,0.99,0.05,0.01
Boxing,2600,1980,Activision,0.72,0.04,0.01
Ice Hockey,2600,1980,Activision,0.46,0.03,0.01
Freeway,2600,1980,Activision,0.32,0.02,0
Bridge,2600,1980,Activision,0.25,0.02,0
Checkers,2600,1980,Atari,0.22,0.01,0
Pitfall!,2600,1981,Activision,4.21,0.24,0.05
Frogger,2600,1981,Parker Bros.,2.06,0.12,0.02
Demon Attack,2600,1981,Imagic,1.99,0.12,0.02
E.T.: The Extra Terrestrial,2600,1981,Atari,1.84,0.11,0.02
Ms. Pac-Man,2600,1981,Atari,1.54,0.1,0.02
River Raid,2600,1981,Activision,1.49,0.09,0.02
Donkey Kong,2600,1981,Coleco,1.36,0.08,0.02
Centipede,2600,1981,Atari,1.26,0.08,0.01
Atlantis,2600,1981,Imagic,1.18,0.08,0.01
Megamania,2600,1981,Activision,1.03,0.06,0.01
Cosmic Ark,2600,1981,Imagic,0.99,0.05,0.01
Donkey Kong Junior,2600,1981,Atari,0.9,0.05,0.01
Spider-Man,2600,1981,Parker Bros.,0.87,0.05,0.01
Custer's Revenge,2600,1981,Mystique,0.76,0.05,0.01
Alien,2600,1981,20th Century Fox Video Games,0.74,0.04,0.01
Air Raid,2600,1981,Men-A-Vision,0.72,0.04,0.01
Berzerk,2600,1981,Atari,0.68,0.04,0.01
King Kong,2600,1981,Tigervision,0.65,0.04,0.01
Adventures of Tron,2600,1981,Mattel Interactive,0.63,0.03,0.01
BurgerTime,2600,1981,Mattel Interactive,0.55,0.03,0.01
Smurf: Rescue In Gargamel's Castle,2600,1981,Coleco,0.55,0.03,0.01
Raiders of the Lost Ark,2600,1981,Atari,0.46,0.03,0.01
Grand Prix,2600,1981,Activision,0.45,0.03,0
Phoenix,2600,1981,Atari,0.42,0.02,0
Jawbreaker,2600,1981,Tigervision,0.42,0.03,0
Barnstorming,2600,1981,Activision,0.4,0.02,0
Mouse Trap,2600,1981,Coleco,0.38,0.02,0
Laser Blast,2600,1981,Activision,0.37,0.02,0
Airlock,2600,1981,Data Age,0.36,0.02,0
Dragonfire,2600,1981,Imagic,0.35,0.02,0
Frogs And Flies,2600,1981,Mattel Interactive,0.33,0.02,0
Fantastic Voyage,2600,1981,20th Century Fox Video Games,0.32,0.02,0
Carnival,2600,1981,Coleco,0.32,0.02,0
Fireball,2600,1981,Starpath Corp.,0.3,0.02,0
Astroblast,2600,1981,Mattel Interactive,0.29,0.02,0
RealSports Football,2600,1981,Atari,0.24,0.01,0
Front Line,2600,1981,Taito,0.22,0.01,0
Dark Cavern,2600,1981,Mattel Interactive,0.22,0.01,0
Deadly Duck,2600,1981,20th Century Fox Video Games,0.21,0.01,0
Reactor,2600,1981,Parker Bros.,0.21,0.01,0
Crazy Climber,2600,1981,Atari,0.21,0.01,0
RealSports Baseball,2600,1981,Atari,0.2,0.01,0
International Soccer,2600,1981,Mattel Interactive,0.18,0.01,0
Armor Ambush,2600,1981,Mattel Interactive,0.15,0.01,0
RealSports Volleyball,2600,1981,Atari,0.12,0.01,0
Pac-Man,2600,1982,Atari,7.28,0.45,0.08
Dig Dug,2600,1982,Atari,1.52,0.1,0.02
Mario Bros.,2600,1982,Atari,1.48,0.09,0.02
Pole Position,2600,1982,Atari,1.1,0.07,0.01
Moon Patrol,2600,1982,Atari,1.05,0.06,0.01
Jungle Hunt,2600,1982,Atari,1.03,0.06,0.01
Joust,2600,1982,Atari,1.01,0.06,0.01
Enduro,2600,1982,Quelle,0.81,0.05,0.01
Yars' Revenge,2600,1982,Atari,0.73,0.04,0.01
Galaxian,2600,1982,Atari,0.72,0.05,0.01
Kangaroo,2600,1982,Atari,0.67,0.04,0.01
Keystone Kapers,2600,1982,Activision,0.62,0.04,0.01
X-Man,2600,1982,Universal Gamex,0.58,0.04,0.01
Battlezone,2600,1982,Atari,0.58,0.03,0.01
Halloween,2600,1982,Wizard Video Games,0.58,0.03,0.01
Q*bert,2600,1982,Parker Bros.,0.55,0.03,0.01
The Activision Decathlon,2600,1982,Activision,0.52,0.03,0.01
Action Force,2600,1982,CPG Products,0.5,0.03,0.01
Popeye,2600,1982,Parker Bros.,0.5,0.03,0.01
Chopper Command,2600,1982,Activision,0.47,0.03,0.01
RealSports Tennis,2600,1982,Atari,0.46,0.03,0.01
Gauntlet,2600,1982,Answer Software,0.46,0.03,0.01
Congo Bongo,2600,1982,Sega,0.37,0.02,0
Bump 'n' Jump,2600,1982,Mattel Interactive,0.37,0.02,0
Gravitar,2600,1982,Atari,0.35,0.02,0
Alien's Return,2600,1982,ITT Family Games,0.32,0.02,0
Bank Heist,2600,1982,20th Century Fox Video Games,0.32,0.02,0
Frankenstein's Monster,2600,1982,Data Age,0.3,0.02,0
Mountain King,2600,1982,CBS Electronics,0.29,0.02,0
Polaris,2600,1982,Tigervision,0.26,0.02,0
Mr. Do!,2600,1982,Coleco,0.26,0.02,0
Porky's,2600,1982,20th Century Fox Video Games,0.23,0.01,0
Assault,2600,1982,Bomb,0.21,0.01,0
Death Trap,2600,1982,Avalon Interactive,0.15,0.01,0
Pressure Cooker,2600,1982,Activision,0.14,0.01,0
Krull,2600,1982,Atari,0.13,0.01,0
Baseball,NES,1983,Nintendo,0.73,0.1,0.02
Mario Bros.,NES,1983,Nintendo,0.51,0.12,0.02
Mahjong,NES,1983,Nintendo,0.01,0,0
Pitfall II: Lost Caverns,2600,1983,Activision,1.22,0.07,0.02
Donkey Kong,NES,1983,Nintendo,0.23,0.05,0.01
Donkey Kong Jr.,NES,1983,Nintendo,0.33,0.07,0.01
Popeye,NES,1983,Nintendo,0.51,0.12,0.02
Jr. Pac-Man,2600,1983,Atari,0.72,0.05,0.01
Crystal Castles,2600,1983,Atari,0.72,0.04,0.01
Midnight Magic,2600,1983,Atari,0.47,0.03,0.01
Millipede,2600,1983,Atari,0.45,0.03,0.01
Gremlins,2600,1983,Atari,0.43,0.03,0
Pengo,2600,1983,Atari,0.38,0.02,0
Frostbite,2600,1983,Activision,0.32,0.02,0
Frogger II: Threeedeep!,2600,1983,Parker Bros.,0.31,0.02,0
Dolphin,2600,1983,Activision,0.27,0.02,0
Mr. Do!'s Castle,2600,1983,Parker Bros.,0.15,0.01,0
Duck Hunt,NES,1984,Nintendo,26.93,0.63,0.47
Excitebike,NES,1984,Nintendo,2.04,0.48,0.07
Golf,NES,1984,Nintendo,1.22,0.28,0.04
Tennis,NES,1984,Nintendo,0.48,0.11,0.02
Pinball,NES,1984,Nintendo,0.8,0.19,0.03
Xevious,NES,1984,Namco Bandai Games,0.18,0.06,0.01
F1 Race,NES,1984,Nintendo,0,0,0
4 Nin uchi Mahjong,NES,1984,Nintendo,0,0,0
Hogan's Alley,NES,1984,Nintendo,0.68,0.16,0.02
Pac-Man,NES,1984,Namco Bandai Games,0.27,0.08,0.02
Lode Runner,NES,1984,Hudson Soft,0,0,0
Clu Clu Land,NES,1984,Nintendo,0.42,0.1,0.02
Mappy,NES,1984,Namco Bandai Games,0,0,0
Beamrider,2600,1984,Activision,0.26,0.01,0
Super Mario Bros.,NES,1985,Nintendo,29.08,3.58,0.77
Kung Fu,NES,1985,Nintendo,1.64,0.38,0.06
Soccer,NES,1985,Nintendo,0.18,0.23,0.02
Ice Climber,NES,1985,Nintendo,0.46,0.1,0.02
Gyromite,NES,1985,Nintendo,0.73,0.16,0.03
Tag Team Match M.U.S.C.L.E.,NES,1985,Namco Bandai Games,0,0,0
Bomberman,NES,1985,Hudson Soft,0.18,0,0
1942,NES,1985,Capcom,0.65,0.14,0
Balloon Fight,NES,1985,Nintendo,0.39,0.09,0.01
Wrecking Crew,NES,1985,Nintendo,0,0,0
Ghostbusters,2600,1985,Activision,0.42,0.03,0
Dig Dug,NES,1985,Namco Bandai Games,0,0,0
Alter Ego,PC,1985,Activision,0,0.03,0.01
Strongest Tokyo University Shogi DS,DS,1985,Mycom,0,0,0
The Legend of Zelda,NES,1986,Nintendo,3.74,0.93,0.14
World Class Track Meet,NES,1986,Namco Bandai Games,1.92,0.45,0.07
Metroid,NES,1986,Nintendo,1.33,0.31,0.05
Super Mario Bros.: The Lost Levels,NES,1986,Nintendo,0,0,0
Dragon Warrior,NES,1986,Capcom,0.49,0,1.51
Pro Yakyuu Family Stadium,NES,1986,Namco Bandai Games,0.15,0,0
Rad Racer,NES,1986,Nintendo,1.13,0.37,0.05
Kid Icarus,NES,1986,Nintendo,0.53,0.12,0.02
Ghosts 'n Goblins,NES,1986,Capcom,0.74,0.26,0.03
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Hudson Soft,0,0,0
Gradius,NES,1986,Konami Digital Entertainment,0.27,0.08,0.01
Castlevania,NES,1986,Konami Digital Entertainment,0.54,0.06,0.01
TwinBee,NES,1986,Konami Digital Entertainment,0,0,0
Ganbare Goemon! Karakuri Douchuu,NES,1986,Konami Digital Entertainment,0,0,0
Doraemon,NES,1986,Hudson Soft,0,0,0
Commando,NES,1986,Capcom,0.71,0.16,0.03
Adventure Island,NES,1986,Hudson Soft,0,0,0
Star Soldier,NES,1986,Hudson Soft,0.32,0.06,0.01
The Mysterious Murasame Castle,NES,1986,Nintendo,0,0,0
Solaris,2600,1986,Atari,0.35,0.02,0
RealSports Boxing,2600,1986,Atari,0.28,0.02,0
Zelda II: The Adventure of Link,NES,1987,Nintendo,2.19,0.5,0.08
Mike Tyson's Punch-Out!!,NES,1987,Nintendo,2.03,0.47,0.07
Dragon Warrior II,NES,1987,Enix Corporation,0.15,0,0
Pro Wrestling,NES,1987,Nintendo,0.77,0.18,0.03
Volleyball,NES,1987,Nintendo,0.14,0.03,0
Pro Yakyuu Family Stadium '87,NES,1987,Namco Bandai Games,0.12,0,0
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Namco Bandai Games,0,0,0
Castlevania II: Simon's Quest,NES,1987,Konami Digital Entertainment,0.45,0.06,0
Final Fantasy,NES,1987,SquareSoft,0.32,0,0
Mega Man,NES,1987,Capcom,0.45,0.08,0.01
Kung-Fu Master,2600,1987,Activision,0.6,0.04,0.01
Commando,2600,1987,Activision,0.44,0.02,0
Defender II,2600,1987,Atari,0.42,0.02,0
Desert Falcon,2600,1987,Atari,0.24,0.01,0
Super Football,2600,1987,Atari,0.07,0,0
Super Baseball,2600,1987,Atari,0.07,0,0
Super Mario Bros. 3,NES,1988,Nintendo,9.54,3.44,0.46
Super Mario Bros. 2,NES,1988,Nintendo,5.39,1.18,0.19
Tetris,NES,1988,Nintendo,2.97,0.69,0.11
Dragon Warrior III,NES,1988,Enix Corporation,0.1,0,0
Ice Hockey,NES,1988,Nintendo,1.27,0.32,0.05
R.C. Pro-Am,NES,1988,Nintendo,1.47,0.38,0.1
Donkey Kong Classics,NES,1988,Nintendo,0.59,0.14,0.02
Mega Man 2,NES,1988,Capcom,0.93,0.15,0.01
Disney's DuckTales,GB,1988,Capcom,0.82,0.23,0.03
Dragon Ball: Daimaou Fukkatsu,NES,1988,Namco Bandai Games,0,0,0
Pro Yakyuu Family Stadium '88,NES,1988,Namco Bandai Games,0.1,0,0
Final Fantasy II,NES,1988,SquareSoft,0,0,0
River Raid II,2600,1988,Activision,0.47,0.03,0.01
Rampage,2600,1988,Activision,0.22,0.01,0
SimCity,PC,1988,Maxis,0,0.02,0.01
Tetris,GB,1989,Nintendo,23.2,2.26,0.58
Super Mario Land,GB,1989,Nintendo,10.83,2.71,0.42
Dr. Mario,GB,1989,Nintendo,2.18,0.96,0.2
Teenage Mutant Ninja Turtles,NES,1989,Palcom,3.38,0.44,0.04
Golf,GB,1989,Nintendo,0.83,0.33,0.04
Tennis,GB,1989,Nintendo,0.75,0.3,0.04
Alleyway,GB,1989,Nintendo,0.96,0.38,0.05
Disney's DuckTales,NES,1989,Capcom,0.91,0.3,0.04
Baseball,GB,1989,Nintendo,0.66,0.27,0.03
Yakuman,GB,1989,Nintendo,0,0,0
SolarStriker,GB,1989,Nintendo,0.4,0.39,0.04
The Final Fantasy Legend,GB,1989,SquareSoft,0,0,0
Famicom Jump: Eiyuu Retsuden,NES,1989,Namco Bandai Games,0,0,0
Castlevania III: Dracula's Curse,NES,1989,Konami Digital Entertainment,0.4,0.07,0.01
Double Dragon,2600,1989,Activision,0.45,0.02,0.01
Klax,2600,1989,Atari,0.14,0.01,0
Adventures of Lolo,NES,1989,HAL Laboratory,0.06,0,0
Super Mario World,SNES,1990,Nintendo,12.78,3.75,0.55
Dr. Mario,NES,1990,Nintendo,2.62,0.6,0.1
F-1 Race,GB,1990,Nintendo,1.73,0.69,0.4
Dragon Warrior IV,NES,1990,Enix Corporation,0.08,0,0.01
F-Zero,SNES,1990,Nintendo,1.37,0.51,0.07
Streets of Rage,GEN,1990,Sega,1.86,0.55,0.08
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Konami Digital Entertainment,1.74,0.25,0.03
Final Fight,SNES,1990,Capcom,0.67,0.17,0.03
Nintendo World Cup,NES,1990,Nintendo,0.28,0.5,0.05
Final Fantasy III,NES,1990,SquareSoft,0,0,0.01
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Capcom,0.68,0.14,0.02
Mega Man 3,NES,1990,Capcom,0.68,0.1,0
Qix,GB,1990,Nintendo,0.51,0.2,0.03
Pilotwings,SNES,1990,Nintendo,0.46,0.17,0.02
Extra Bases,GB,1990,Namco Bandai Games,0,0,0
Famista '91,NES,1990,Namco Bandai Games,0,0,0